year,name,count,start
01/07/11,Asean 1,69.58,01/07/11
01/08/11,Asean 1,67.62,01/07/11
01/09/11,Asean 1,67.5,01/07/11
01/10/11,Asean 1,68.18,01/07/11
01/11/11,Asean 1,69.84,01/07/11
01/12/11,Asean 1,68.06,01/07/11
01/01/12,Asean 1,71.98,01/07/11
01/02/12,Asean 1,71.82,01/07/11
01/03/12,Asean 1,67.82,01/07/11
01/04/12,Asean 1,69.76,01/07/11
01/05/12,Asean 1,67.34,01/07/11
01/06/12,Asean 1,67.32,01/07/11
01/07/12,Asean 1,65.76,01/07/11
01/08/12,Asean 1,68.78,01/07/11
01/09/12,Asean 1,65.18,01/07/11
01/10/12,Asean 1,68.18,01/07/11
01/11/12,Asean 1,71.2,01/07/11
01/12/12,Asean 1,70.86,01/07/11
01/01/13,Asean 1,73.8,01/07/11
01/02/13,Asean 1,74.98,01/07/11
01/03/13,Asean 1,71.46,01/07/11
01/04/13,Asean 1,71.3,01/07/11
01/05/13,Asean 1,72.34,01/07/11
01/06/13,Asean 1,70.46,01/07/11
01/07/13,Asean 1,68.78,01/07/11
01/08/13,Asean 1,68.02,01/07/11
01/09/13,Asean 1,71.62,01/07/11
01/10/13,Asean 1,71.96,01/07/11
01/11/13,Asean 1,72.42,01/07/11
01/12/13,Asean 1,71.84,01/07/11
01/01/14,Asean 1,71.72,01/07/11
01/02/14,Asean 1,69.92,01/07/11
01/03/14,Asean 1,68.28,01/07/11
01/04/14,Asean 1,69.9,01/07/11
01/05/14,Asean 1,68.26,01/07/11
01/06/14,Asean 1,69.08,01/07/11
01/07/14,Asean 1,70.56,01/07/11
01/08/14,Asean 1,71.4,01/07/11
01/09/14,Asean 1,69.14,01/07/11
01/10/14,Asean 1,70.86,01/07/11
01/11/14,Asean 1,70.58,01/07/11
01/12/14,Asean 1,69.08,01/07/11
01/01/15,Asean 1,68.46,01/07/11
01/02/15,Asean 1,68.5,01/07/11
01/03/15,Asean 1,68.9,01/07/11
01/04/15,Asean 1,68,01/07/11
01/05/15,Asean 1,70.62,01/07/11
01/06/15,Asean 1,68.24,01/07/11
01/07/15,Asean 1,66.02,01/07/11
01/08/15,Asean 1,62.48,01/07/11
01/09/15,Asean 1,64.62,01/07/11
01/10/15,Asean 1,63.72,01/07/11
01/11/15,Asean 1,65.68,01/07/11
