year,name,count,start
01/07/11,FTCR China Consumer Index,69.58,01/07/11
01/08/11,FTCR China Consumer Index,67.62,01/07/11
01/09/11,FTCR China Consumer Index,67.5,01/07/11
01/10/11,FTCR China Consumer Index,68.18,01/07/11
01/11/11,FTCR China Consumer Index,69.84,01/07/11
01/12/11,FTCR China Consumer Index,68.06,01/07/11
01/01/12,FTCR China Consumer Index,71.98,01/07/11
01/02/12,FTCR China Consumer Index,71.82,01/07/11
01/03/12,FTCR China Consumer Index,67.82,01/07/11
01/04/12,FTCR China Consumer Index,69.76,01/07/11
01/05/12,FTCR China Consumer Index,67.34,01/07/11
01/06/12,FTCR China Consumer Index,67.32,01/07/11
01/07/12,FTCR China Consumer Index,65.76,01/07/11
01/08/12,FTCR China Consumer Index,68.78,01/07/11
01/09/12,FTCR China Consumer Index,65.18,01/07/11
01/10/12,FTCR China Consumer Index,68.18,01/07/11
01/11/12,FTCR China Consumer Index,71.2,01/07/11
01/12/12,FTCR China Consumer Index,70.86,01/07/11
01/01/13,FTCR China Consumer Index,73.8,01/07/11
01/02/13,FTCR China Consumer Index,74.98,01/07/11
01/03/13,FTCR China Consumer Index,71.46,01/07/11
01/04/13,FTCR China Consumer Index,71.3,01/07/11
01/05/13,FTCR China Consumer Index,72.34,01/07/11
01/06/13,FTCR China Consumer Index,70.46,01/07/11
01/07/13,FTCR China Consumer Index,68.78,01/07/11
01/08/13,FTCR China Consumer Index,68.02,01/07/11
01/09/13,FTCR China Consumer Index,71.62,01/07/11
01/10/13,FTCR China Consumer Index,71.96,01/07/11
01/11/13,FTCR China Consumer Index,72.42,01/07/11
01/12/13,FTCR China Consumer Index,71.84,01/07/11
01/01/14,FTCR China Consumer Index,71.72,01/07/11
01/02/14,FTCR China Consumer Index,69.92,01/07/11
01/03/14,FTCR China Consumer Index,68.28,01/07/11
01/04/14,FTCR China Consumer Index,69.9,01/07/11
01/05/14,FTCR China Consumer Index,68.26,01/07/11
01/06/14,FTCR China Consumer Index,69.08,01/07/11
01/07/14,FTCR China Consumer Index,70.56,01/07/11
01/08/14,FTCR China Consumer Index,71.4,01/07/11
01/09/14,FTCR China Consumer Index,69.14,01/07/11
01/10/14,FTCR China Consumer Index,70.86,01/07/11
01/11/14,FTCR China Consumer Index,70.58,01/07/11
01/12/14,FTCR China Consumer Index,69.08,01/07/11
01/01/15,FTCR China Consumer Index,68.46,01/07/11
01/02/15,FTCR China Consumer Index,68.5,01/07/11
01/03/15,FTCR China Consumer Index,68.9,01/07/11
01/04/15,FTCR China Consumer Index,68,01/07/11
01/05/15,FTCR China Consumer Index,70.62,01/07/11
01/06/15,FTCR China Consumer Index,68.24,01/07/11
01/07/15,FTCR China Consumer Index,66.02,01/07/11
01/08/15,FTCR China Consumer Index,62.48,01/07/11
01/09/15,FTCR China Consumer Index,64.62,01/07/11
01/10/15,FTCR China Consumer Index,63.72,01/07/11
01/11/15,FTCR China Consumer Index,65.68,01/07/11
01/12/15,FTCR China Consumer Index,65.78,01/07/11
01/01/16,FTCR China Consumer Index,63.08,01/07/11
01/02/16,FTCR China Consumer Index,64,01/07/11
01/03/16,FTCR China Consumer Index,64.42,01/07/11
01/04/16,FTCR China Consumer Index,67.44,01/07/11
01/05/16,FTCR China Consumer Index,65.34,01/07/11
01/06/16,FTCR China Consumer Index,64.44,01/07/11
01/07/16,FTCR China Consumer Index,66.4,01/07/11
